Latitude,Longitude,City,Month,Day,Minutes,% of day duration,Zip
37.279564,-86.670181,Aberdeen,1,15,592.7,0.412,42201
36.681441,-86.85365,Adairville,1,15,595.63,0.414,42202
38.076051,-82.73975,Adams,1,15,588.69,0.409,41201
36.661883,-86.25964,Adolphus,1,15,595.73,0.414,42120
36.858906,-83.2528,Ages Brookside,1,15,594.76,0.413,40801
36.72024,-85.13539,Albany,1,15,595.44,0.413,42602
38.946893,-84.38652,Alexandria,1,15,584.22,0.406,41001
36.929243,-87.219328,Allegre,1,15,594.43,0.413,42203
37.611434,-82.72503,Allen,1,15,591.03,0.41,41601
36.70996,-87.07105,Allensville,1,15,595.5,0.414,42204
36.697107,-88.29836,Almo,1,15,595.56,0.414,42020
36.7703,-85.01043,Alpha,1,15,595.19,0.413,42603
36.86316,-86.35202,Alvaton,1,15,594.75,0.413,42122
37.29409,-83.9759,Annville,1,15,592.61,0.412,40402
38.456608,-82.82615,Argillite,1,15,586.75,0.407,41121
36.836208,-83.63388,Arjay,1,15,594.87,0.413,40902
36.796741,-88.997,Arlington,1,15,595.08,0.413,42021
36.825088,-83.8385,Artemus,1,15,594.92,0.413,40903
37.373384,-83.15186,Ary,1,15,592.22,0.411,41712
37.254188,-82.47961,Ashcamp,1,15,592.81,0.412,41512
37.046365,-83.42003,Asher,1,15,593.84,0.412,40803
38.439526,-82.6932,Ashland,1,15,586.84,0.408,41102
38.370285,-82.694757,Ashland,1,15,587.19,0.408,41114
38.370285,-82.694757,Ashland,1,15,587.19,0.408,41105
38.473961,-82.64532,Ashland,1,15,586.66,0.407,41101
37.515013,-83.26432,Athol,1,15,591.51,0.411,41307
36.881837,-86.71983,Auburn,1,15,594.66,0.413,42206
38.76189,-83.99683,Augusta,1,15,585.18,0.406,41002
36.820727,-86.00112,Austin,1,15,594.95,0.413,42123
37.73696,-82.74012,Auxier,1,15,590.4,0.41,41602
37.22539,-83.273609,Avawam,1,15,592.95,0.412,41713
38.279797,-85.03498,Bagdad,1,15,587.66,0.408,40003
36.898169,-85.31056,Bakerton,1,15,594.57,0.413,42711
37.149003,-88.94252,Bandana,1,15,593.35,0.412,42022
37.601078,-82.69496,Banner,1,15,591.08,0.41,41603
36.853913,-83.88501,Barbourville,1,15,594.78,0.413,40906
37.81109,-85.46164,Bardstown,1,15,590.04,0.41,40004
36.881954,-88.98347,Bardwell,1,15,594.66,0.413,42023
37.071352,-89.04326,Barlow,1,15,593.73,0.412,42024
37.778911,-87.60124,Baskett,1,15,590.21,0.41,42402
38.087303,-86.35414,Battletown,1,15,588.65,0.409,40104
36.872801,-83.30778,Baxter,1,15,594.69,0.413,40806
37.640938,-83.24466,Bays,1,15,590.88,0.41,41310
37.163342,-83.51527,Bear Branch,1,15,593.26,0.412,41714
37.578547,-83.70348,Beattyville,1,15,591.2,0.411,41311
36.857666,-85.649583,Beaumont,1,15,594.77,0.413,42124
37.846064,-82.44835,Beauty,1,15,589.85,0.41,41203
37.370358,-82.66944,Beaver,1,15,592.23,0.411,41604
37.377266,-86.88364,Beaver Dam,1,15,592.21,0.411,42320
38.597624,-85.33889,Bedford,1,15,586.03,0.407,40006
37.293315,-86.26557,Bee Spring,1,15,592.63,0.412,42207
37.177839,-87.05761,Beech Creek,1,15,593.2,0.412,42321
37.615062,-87.406866,Beech Grove,1,15,591.03,0.41,42322
37.172261,-87.03677,Beechmont,1,15,593.23,0.412,42323
37.357536,-82.3631,Belcher,1,15,592.29,0.411,41513
37.672296,-82.30442,Belfry,1,15,590.72,0.41,41514
39.103011,-84.47987,Bellevue,1,15,583.41,0.405,41073
37.150125,-87.00657,Belton,1,15,593.34,0.412,42324
36.963608,-82.95015,Benham,1,15,594.24,0.413,40807
36.854812,-88.33515,Benton,1,15,594.79,0.413,42025
37.716443,-84.299699,Berea,1,15,590.51,0.41,40404
37.575568,-84.27767,Berea,1,15,591.22,0.411,40403
38.535065,-84.38904,Berry,1,15,586.35,0.407,41003
37.740503,-83.475446,Bethany,1,15,590.39,0.41,41313
37.191504,-84.79832,Bethelridge,1,15,593.13,0.412,42516
38.452451,-85.00764,Bethlehem,1,15,586.78,0.407,40007
37.554631,-82.63174,Betsy Layne,1,15,591.31,0.411,41605
36.942094,-83.53262,Beverly,1,15,594.35,0.413,40913
37.362943,-82.73277,Bevinsville,1,15,592.27,0.411,41606
37.581023,-86.15642,Big Clifty,1,15,591.2,0.411,42712
37.112359,-83.56789,Big Creek,1,15,593.51,0.412,40914
